term,estimate,std.error,statistic,p.value,odds_ratio,or_lower,or_upper,model
(Intercept),-2.440195288141829,0.02081087356430174,-117.25578364608666,1.00672769424223e-310,0.08714383164319751,0.08366081256342721,0.0907718579436525,Birthweight-for-GA GLM
time,-0.02776370912987404,7.76139226048664e-4,-35.77155772839814,2.10721166697333e-126,0.9726181604425392,0.9711397065356805,0.9740988651336467,Birthweight-for-GA GLM
simd_quintile1,0.43792014893700115,0.02396895135443416,18.27030905363274,1.3584377267414293e-54,1.549481174760581,1.4783712932649067,1.6240114522483622,Birthweight-for-GA GLM
simd_quintile2,0.2106073139369257,0.02535205623142123,8.307306989793588,1.5539939567142173e-15,1.2344275173911718,1.1745878072654792,1.2973157785794396,Birthweight-for-GA GLM
simd_quintile4,-0.11353638129615741,0.0270633959689046,-4.195200832394015,3.3641196571175345e-5,0.8926717192662184,0.8465545502292179,0.9413011815504896,Birthweight-for-GA GLM
simd_quintile5,-0.19149367223340513,0.028142430606502095,-6.804446812393027,3.740585224671167e-11,0.8257248500840745,0.7814119243636118,0.8725507082601129,Birthweight-for-GA GLM
age_group35 and over,0.001872895861841632,0.03809799337454176,0.04915996082599872,0.9608164794039169,1.0018746508267475,0.9297875394370352,1.07955072895144,Birthweight-for-GA GLM
age_groupUnder 25,0.33912534595132415,0.033361965396011786,10.165029006110787,9.842027929864431e-22,1.4037192847149782,1.3148674916878846,1.498575212131306,Birthweight-for-GA GLM
age_groupUnknown,-13.112025642881733,1788.5037691122595,-0.007331282085801814,0.9941542088727416,2.02078270701424e-6,0,Inf,Birthweight-for-GA GLM
simd_quintile1:age_group35 and over,0.0940036392505349,0.05032918362013005,1.8677759599688097,0.06252800816194747,1.0985637438585913,0.9953691947506488,1.2124569513354615,Birthweight-for-GA GLM
simd_quintile2:age_group35 and over,0.04885822572099626,0.05243529039141312,0.931781351000153,0.35201440347544777,1.0500714670611944,0.9475126952390135,1.1637312000953208,Birthweight-for-GA GLM
simd_quintile4:age_group35 and over,0.04141577511395215,0.05264273771649457,0.7867329267143212,0.4319064207201664,1.0422853717878031,0.9401047339674973,1.1555720942475312,Birthweight-for-GA GLM
simd_quintile5:age_group35 and over,-0.09328150023110396,0.05369141422862306,-1.7373634420189161,0.08309662044370167,0.9109370352144103,0.8199461003873209,1.012025402320032,Birthweight-for-GA GLM
simd_quintile1:age_groupUnder 25,-0.20201197458221906,0.03979267754760066,-5.076611754526168,5.911979504616962e-7,0.8170851436304228,0.7557794920165115,0.883363651691892,Birthweight-for-GA GLM
simd_quintile2:age_groupUnder 25,-0.04201084262724099,0.04273834880126867,-0.9829776724082029,0.32621558811619367,0.9588593839612446,0.8818105814699961,1.0426403782520506,Birthweight-for-GA GLM
simd_quintile4:age_groupUnder 25,0.09416111083977939,0.05157734569276274,1.825629248171876,0.06865532446696065,1.0987367500586465,0.9930934737205848,1.2156181445907865,Birthweight-for-GA GLM
simd_quintile5:age_groupUnder 25,0.1032269635620311,0.06169343464871319,1.6732244549166824,0.09506886342455761,1.108743024787411,0.9824634191497253,1.2512538085933487,Birthweight-for-GA GLM
simd_quintile1:age_groupUnknown,-0.45176746670078777,3097.843226472546,-1.458329016911571e-4,0.9998837152457529,0.6365021604653613,0,Inf,Birthweight-for-GA GLM
simd_quintile2:age_groupUnknown,-0.14723688657706255,2143.6127468176246,-6.868632722754995e-5,0.9999452306536367,0.8630894988810769,0,Inf,Birthweight-for-GA GLM
simd_quintile4:age_groupUnknown,0.08171998375400695,2237.0831454143104,3.652970338698444e-5,0.9999708718159896,1.085151907119323,0,Inf,Birthweight-for-GA GLM
simd_quintile5:age_groupUnknown,0.08265305982865769,2087.6341810979316,3.959173526522193e-5,0.9999684302021883,1.086164908931599,0,Inf,Birthweight-for-GA GLM
