year,quarter,caesarean_proportion
2017,1,0.32657267705499216
2017,2,0.3118680976823767
2017,3,0.32973805855161786
2017,4,0.32298185851223954
2018,1,0.326319390984518
2018,2,0.3335754054708303
2018,3,0.3251012467243707
2018,4,0.3333873319293698
2019,1,0.34948364888123923
2019,2,0.3369043537881385
2019,3,0.33706978212819705
2019,4,0.35526782547002483
2020,1,0.35496886238049297
2020,2,0.3496104366733104
2020,3,0.3631745502998001
2020,4,0.3614391143911439
2021,1,0.3697518193692853
2021,2,0.374887972754974
2021,3,0.3736842105263158
2021,4,0.3798920377867746
2022,1,0.3709886848451122
2022,2,0.377356729512787
2022,3,0.3941774097157005
2022,4,0.40481302558597243
2023,1,0.39960956564177647
2023,2,0.42533480095395343
2023,3,0.4186596583442838
2023,4,0.4289389638041164
2024,1,0.421349901157865
2024,2,0.4278232717577604
2024,3,0.4335391320138006
